date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:40	12205/12205	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:40%20GMT	http://blogs.pingpoet.com/jeemster/archive/2007/02/21/Why-Identity-Management-is-Needed.aspx	./httrack/blogs.pingpoet.com/jeemster/archive/2007/02/21/Why-Identity-Management-is-Needed.html	(from http://blogs.pingpoet.com/)
21:23:41	13616/13616	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:41%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2007/01/22/29977.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2007/01/22/29977.html	(from http://blogs.pingpoet.com/)
21:23:42	16698/16698	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:41%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/12/28/29976.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/12/28/29976.html	(from http://blogs.pingpoet.com/)
21:23:42	24755/24755	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:41%20GMT	http://blogs.pingpoet.com/jeemster/archive/2006/12/07/Address-Books-How-Many-do-You-have.aspx	./httrack/blogs.pingpoet.com/jeemster/archive/2006/12/07/Address-Books-How-Many-do-You-have.html	(from http://blogs.pingpoet.com/)
21:23:42	15221/15221	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:41%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/11/01/29973.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/11/01/29973.html	(from http://blogs.pingpoet.com/)
21:23:42	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20May%202018%2004:23:41%20GMT	http://blogs.pingpoet.com/overflow/pubfiles/RussiaTripJuly2006.kmz	./httrack/blogs.pingpoet.com/overflow/pubfiles/RussiaTripJuly2006.5.delayed	(from http://blogs.pingpoet.com/)
21:23:42	13655/13655	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:41%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/10/30/29972.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/10/30/29972.html	(from http://blogs.pingpoet.com/)
21:23:43	0/-1	---M--	301	error ('')			http://blogs.pingpoet.com/overflow	./httrack/blogs.pingpoet.com/overflow.6.delayed	(from http://blogs.pingpoet.com/)
21:23:43	15122/15122	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:43%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/10/27/29878.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/10/27/29878.html	(from http://blogs.pingpoet.com/)
21:23:44	0/-1	---M--	301	error ('')			http://blogs.pingpoet.com/overflow	./httrack/blogs.pingpoet.com/overflow.7.delayed	(from http://blogs.pingpoet.com/)
21:23:44	69531/69531	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:43%20GMT	http://blogs.pingpoet.com/vbguru/	./httrack/blogs.pingpoet.com/vbguru/index-2.html	(from http://blogs.pingpoet.com/)
